TypeOfRequest,RouteNumber,City,From,To,Timings,Comments,Response,Date
New Route,,Bengaluru,Sarjapura Bus Stand (towards TOWARDS SARJAPURA),KR Puram Railway Station (towards ULSOOR),,there is no bus from sarjapur to kr puram railway station. everybody changes at iblur ,?????????????? ???? ????? ????????? ???? ?????????????????.,27-Nov-15
New Route,,Bengaluru,Lakkur Circle (towards PURA),Gunjoor (towards VARTURU),,"to avoid private buses, we need BMTC bus becoz there is no govt bus service.",??? ?????? ?????? ?????????? ?????????.,27-Nov-15
Other,,Bengaluru,,,,Im looking for BMTC Station contact number,,17-Dec-15
Increase Frequency,127,Bengaluru,,,,pls give more buses to jeevanhalli at night means after 8...the bus drivers are not maintaining the correct time.,"?????? ?????? ?????? ???????????????? ????????????????,",01-Nov-15
New Route,,Bengaluru,Sadaramangala (towards LAST BUS STOP),Mysore Bank (towards TOWARDS KBS),,This Is Developing Area where We Need More Buses On This Rote. The Buses In rote Don't Have Any-timing.  plz do the need fully For This Residence Thank You ,??????????? 315-? ???? 315-?? ????? 2 ???????????? ????? ?????? ?????????????.,30-Nov-15
New Route,,Bengaluru,HMT Auditorium (towards H.M.T.WATCH FACTORY),SRS Jalahalli Cross (towards TOWARDS JALAHALLI CROSS),,Feeder bus service for Jalahalli/HMT Area residents  to/from Peenya Metro Station passing along HMT Watch Factory Road. ,,18-May-16
New Route,,Bengaluru,Kempegowda Bus Station (towards \N),Devarabisanahalli (towards MARATHAHALLI),,Many ppl getdown at agara and take bus to sarjapur outer ring road. Kindly provide direct bus from KBS via -- Nimhans - audugodi policestation - St Johns - bellandure - devarabesanahalli - marathalli.,,31-Dec-15
New Route,,Bengaluru,Modi Hospital (towards NAVARANG),Devarabisanahalli (towards MARATHAHALLI),,Provide volvo busses from Modi TO Sarjapur puterringroad via malleshwaram - race course - kr circle - richmond - shanthinagar - nimhans - audugodi police station - st johns - bellandur - devarabesanahalli - marathalli,,31-Dec-15
New Route,,Bengaluru,Koramangala (towards null),Chandapura (towards ANEKAL),,"Request for new Route. 
Domluru/Koramangala to Electronic City/NH/Chandapura..

Dear Planners, 

Request you to implement a direct bus from koramangala to E-City & Viceversa. 

Daily 1000's of employees ply on this route. due to not availability of direct buses. People prefer to take private buses which are not safe. Some still manage to get their own vehicle and remaining change the 2/3 buses to reach destination. 

Request you to focus on this route that will not only help commuters but also increase your revenue and profits as you will find a good demand once you start the service. 

1. this will benefit to IT employees
2. Will reduce the traffic from roads
3. Will help patients to reach directly to Narayan Health.
4. Womens will be safe, no longer as they will prefer BMTC and not private buses

Request you to give a thought process on this. Thanks. 
",,08-Jan-16
New Route,,Bengaluru,LRDE (towards BEML),HAL Main Gate (towards TOWARDS DOMLURU),,"Please add a bus to commute from LRDE towards HAL. There are many people working in Bagmane tech park who are coming in share autos, which are ferrying 5 passengers dangerously. Kindly look into this route to add bus facility in morning and evening.",?????? ?????? ?????? ???????? ???????? ????????????????.,06-Jan-16
Increase Frequency,271A,Bengaluru,,,,pls increase your service after 10.25pm from majestic to abbigere or kammagondanahalli,????????????????.,26-Jan-16
Increase Frequency,G-4,Bengaluru,,,,There is only less frequency and extend it till halasur from brigade road,At present 18 schedule are being operated in route no G-4 pl avail the service further to extend till bridge road will be examined.,01-Nov-15
New Route,,Bengaluru,Devarabisanahalli (towards MARATHAHALLI),White Field (towards TOWARDS KADUGODI),,"Sir, 
In this route (through Forum Value Mall)  there are no direct buses- volve or normal.  But there are many people in the route travelling from ECO space area.  Please take a note and see if a few buses can be added to this route. ",,01-Dec-15
Other,,Bengaluru,,,,"Sir, we are requsting you to increase the number of NORMAL buses at peak hours of 8am to 9am in the morning and 5pm to 8pm in the evening in the route of HAL to ITPL and vice versa... Thanking you",,01-Dec-15
New Route,,Bengaluru,Devasandra (towards KUVEMPU CIRCLE),Hebbala Bridge (towards TIN FACTORY KR PURAM),,Can we kindly have new bus routes from Devasandra or from Yeshwantpur (via devasandra) towards Hebbal / Tin Factory. Earlier bus routes 502B /502G - Volvo have been removed from plying on this route.,"?????????? ?????????? ????? ??????:502?? ????? ?????????????. ???? ??????? ???????? ??? ??????????? ?????????, ?????? ??????, ??????? ??????, ??????? ???? ?????????? ?????????????????.",01-Dec-15
Other,,Bengaluru,,,,"Sir, i requsting you to increase the NORMAL buses in the route of HAL to ITPL from 8am to 9am in the morning and 5pm to 8pm in the evening. because today morning i waited for nearly half an hour and finally i got 504e that too fully crowded. it is very terrible for women. we requesting you to take some immediate action for this problem. Thank you ",,01-Dec-15
New Route,,Bengaluru,HAL Kalyanamantapa (towards TOWARDS DOMLURU),ITPL (towards I.T.P.L.),,"Sir, i requsting you to increase the NORMAL buses in the route of HAL to ITPL from 8am to 9am in the morning and 5pm to 8pm in the evening. because today morning i waited for nearly half an hour and finally i got 504e that too fully crowded. it is very terrible for women. we requesting you to take some immediate action for this problem. Thank you ","????? 5 ????????? ??????? ?????? ????????????, ????? ?????? ?????????????.",01-Dec-15
Other,,Bengaluru,,,,"
From HAL to ITPl there is very few Normal Bus.Rest All are A/C Buses.But My concern is Everybody Don't have Much Money and today we waited there nearly half an hour for a normal bus. So Sir In this route try to Introduce Other Normal Buses so that the commuters will not face any difficulties and Problem.",,01-Dec-15
New Route,,Bengaluru,HAL Main Gate (towards TOWARDS DOMLURU),ITPL (towards I.T.P.L.),,"
From HAL to ITPl there is very few Normal Bus.Rest All are A/C Buses.But My concern is Everybody Don't have Much Money and today we waited there nearly half an hour for a normal bus. So Sir In this route try to Introduce Other Normal Buses so that the commuters will not face any difficulties and Problem.","????? 5 ????????? ??????? ?????? ????????????, ????? ?????? ?????????????.",01-Dec-15
Increase Frequency,320,Bengaluru,,,,Immadihalli and Hope farm traffic sucks,,01-Dec-15
Other,,Bengaluru,,,,"Hello BMTC Team, We are in need of Mini Buses from Thindlu to Hebbal Bus station. We are staying in Kodigehalli area after the LC gate in thindlu main road. since the LC gate has been closed for Bridge construction there are no bus in this route. hence would request to have more frequent Mini Bus facility to cover the route till Hebbal Bus station. This would help in our commutation much easier and safe.",,06-Nov-15
New Route,,Bengaluru,Domlur (towards INDIRA NAGARA),Indiranagar Police Station (towards HALASURU),,metro feeder bus required,,16-Jun-16
Increase Frequency,500,Bengaluru,,,,Kindly Increase frequency of bus 505E currently it is very less ,,27-Jan-16
New Route,,Bengaluru,"Marathahalli Bridge (towards AGRAHARA JUNCTION, SARJAPURA ROAD)","Jayanagara Bus Stand (towards BANASHANKARI, JP NAGARA)",,There is no direct bus service from marathahalli Area to jayanagar 4th Block. Request you to introduce a direct bus service with good frequency. This will help many commuters travelling to colleges and offices in and around Jayanagar 4th Block,,01-Dec-15
Increase Frequency,323F,Bengaluru,,,,Please increase the frequency atleast 45 minutes 1 bus from 09.00am to 8.00pm at Nerige in and out.,,01-Dec-15
Other,,Bengaluru,,,,Increase the frequency of V-335EP since people can travel more easily between Hope Farm and Old Airport Road Area. Currently they are heavily dependent on V-335E that goes through Graphite Signal that is longer route and unnecessarily clogs the ITPL road.,,18-Dec-15
New Route,,Bengaluru,MVJ College (towards HOPE FARM),Murugeshpalya (towards TOWARDS DOMLURU),,Please add additional buses that take people directly from Channasandra to Old Airport Road area.,?????????????? ???? ????? ????????? ???? ?????????????????.,18-Dec-15
Increase Frequency,201MD,Bengaluru,,,,"This is the only route between Koramangala and JP Nagara, missing a bus means waiting for 30 mins - 1 hour. Please increase frequency.","??????????? 201-???? ????? 4 ????????????, ????? ??????????????????? ???? ???? ????? ??????? ???????? ???? ??????????? ?????????????????. ",19-Dec-15
New Route,,Bengaluru,Canara Bank Koramangala (towards INDIRA NAGARA),ITPL (towards I.T.P.L.),,"Only one direct bus, which never comes on time. Change over at Domaluru or Agara are both painful. Please add direct routes (via ORR or Inner ring road)",,19-Dec-15
Increase Frequency,96A,Bengaluru,,,,From 13:30 to 14:00 there are no buses available in this route from Majestic,???????? ???????????: 14 ?????????????????. ????????? ????????? ???? ?????????????????? ???????????? ?????????? ????????????????.,19-Dec-15
New Route,,Bengaluru,Bannerghatta National Park (towards TOWARDS BANNERGHATTA NATIONAL PARK),KR Puram Railway Station (towards HOODI),,Via BG ROAD-DAIRY CIRCLE-KORAMANGALA WATER TANK-INDIRANAGAR-BYAPPANAHALLI. Extremely essential route.,????? ???????/?????? ??????????? ???????????? ???? ????? ????????? ???? ?????????????????.,20-Dec-15
New Route,,Bengaluru,Shanthinagar Bus Stand (towards LALBHAG),White Field (towards TOWARDS KADUGODI),,Via Koramangala Water Tank-Domlur-Marathahalli-ITPL,??? ??????? ??? ????? ????????? ???? ?????????????????.,20-Dec-15
Other,,Bengaluru,,,,Request BMTC to ply buses between Electronic city & other parts of city via Hosa Road or Jail Road or Kasavanahalli Road instead of Hosur Road.,,11-Jan-16
New Route,,Bengaluru,,,,"From 1960s to 2000, route no. 1 (Yeshwanthpur to Jayanagar via Malleswaram, KR Circle, Chamarajpet, Basavangudi) was extremely popular with frequency of 15 min. AFter 2000 this route has been discarded.  One doesnt understand how a bus every 15min for 4 decades suddenly considered unviable. So please reintroduce route so that the oldest and planned areas of Malleswaram, Basavangudi, Jayanagar get interconnection (presently none)",????????????????,01-Nov-15
New Route,,Bengaluru,Tin Factory (towards TOWARDS HOSAKOTE),Alada Mara Ramamurthy Nagar (towards BANASAWADI),,"There are busses from Tinfactory side towards ORR. However, having a bus route from Tin Factory towards Banaswadi via ITI Gate and Ramammurthy Nagar would help residents. We are forced to change BUS At ITI Gate to go towards Ramamurthy nagar. ",???? ????? ????????? ???? ?????????????????.,02-Dec-15
Increase Frequency,315L,Bengaluru,,,,Pls increase frequency of Route 315L. there are a very few busses and the timings are not maintained. ,,02-Dec-15
New Route,,Bengaluru,Manyatha Tech Park (towards HEBBALA),Vijayanagara TTMC (towards G.K.W.LAYOUT),,"There are no direct bus service from Manyata tech park to Malleshwaram, RajajiNagar and Vijayanagar areas. Request you to introduce direct bus between marathahally and Vijayanagar via tinFactory, Manyata, Hebbal, mekhri circle, Malleshwaram, Rajajinagar. This will help the people travelling to Manyata tech park from areas in and around malleshwaram, rajajinagar and vijayanagar",??????? ?????? ????????????? ??? ?????? ?????? ????? ??????????. ???????? ??????????? ???????? ????????????? ???????????? ??????????? ???????? ????????? ????????? ??????????? ???? ???????? ????? ?????????? ????????? ????????????? ??????????? ?????????.,02-Dec-15
New Route,,Bengaluru,Hampinagar,BANASHANKARI TTMC (towards \N),,I request you to introduce a Bus “201M” plying for Banashankari from Hampinagar at 9:10 AM. The bus provided “201M” at 9:20 was cancelled due to route change.,,02-Dec-15
Other,,Bengaluru,,,,"Many Volvo buses start from Kadugodi but all of them go through ITPL, Vaidehi, Hypercity etc. However, for people traveling to Kundalahalli, HAL, Majestic etc. this is a waste of time. Some Volvo buses should also go straight to Kundalahalli on Whitefield main road via Forum Value Mall. This will save a lot of time and also give a Volvo service on that route which is lacking. ",,04-Dec-15
Other,,Bengaluru,,,,"Please extend some of the 335E buses to go till Seegehalli Gate. There are many apartments in that area, and AC service stops at Kadugodi. ",,04-Dec-15
Other,,Bengaluru,,,,"Introduce BIG TRUNK on Airport Road & Doddaballapur Road, so that, apart from these residents, new feeder bus services can also be started from Bus-starved areas like Kenchanahalli, Ramagondanahalli, Chowdeshwari Layout (Yelahanka), Gantiganahalli, Nagenahalli, NITTE College, MVIT College, Razak Palya, Jakkur, Kempapura etc. ",,22-Dec-15
New Route,,Bengaluru,RV Dental College (towards JPnagar 1st Phase),Central Silk Board (towards MARATHAHALLI),,require buses from JP Nagar as we have to change bus for short distances,,03-Jan-16
Other,,Bengaluru,,,,"Need more buses from

Abbaiah Reddy Layout to Shivajinagar",,03-Jan-16
New Route,,Bengaluru,Hebbala Bridge (towards TIN FACTORY KR PURAM),White Field TTMC (towards Last Stop),,i am looking to reach the TCS Abhilash -whitefiled and there is no direct bus. Any bus type is appreciated do let me know the details,"????? ??????: 500-??? (????????????????? ????????), 500-?????? (????????? ??.??.????????? ????????), 500-?? (????? ????????? ????????) ?????? ????? 17 ?????????? ???????????????????, ? ????? ???????? ??????? ???????? ?????? ?????????? ?????????? ??????????????. ????????? ? ?????? ?????? ??????????????????.",03-Jan-16
Increase Frequency,279A,Bengaluru,,,,"Please increase the bus services on Bhoopsandra to KR Market, many people have to go towards Mekhri Circle to catch up KR Market  Buses.",???????????:279-? ????? 2 ???????????? 8 ????? ???????????? ??????????????????????. ???????? ???? ?????? ??????????? ?????????????????. ,03-Jan-16
New Route,,Bengaluru,Roopena Agrahara (towards Electronic City),Garudachar Palya (towards HOPE FARM),,"Please add Buses from Roopena Agrahara to Garudacharpalya, Many IT people travel this route daily.",,04-Jan-16
New Route,,Bengaluru,Devanayakanahalli,Shivajinagar Bus Station (towards TOWARDS INDIAN EXRESS),,Requested operate new bus in the mentioned above route. Students and regular passengers will get more facility from BMTC,???? ????? ????????? ???? ?????????????????.,04-Dec-15
New Route,,Bengaluru,BANASHANKARI TTMC (towards \N),Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),,Please put more buses from banashaNkari- Nice road -electronic city,,04-Dec-15
New Route,,Bengaluru,Hosa Road (towards \N),Hebbala (towards TOWARDS YELAHANKA NES),,there is very few bus running on hosa road. need more frequency ,,02-Nov-15
New Route,,Bengaluru,St John Hospital (towards TOWARDS MADIWALA),Nerige (towards MUGALURU),,Please provide a bus service via 342J V Kallahalli,,04-Dec-15
New Route,,Bengaluru,Kaggadasapura (towards D.R.D.O. 3RD PHASE),Kadubisanahalli (towards silk board),,"It would be good to provide regular buses from Kaggadasapura towards Silkboard/electronic city. Or atleast have mini-bus or connecting services for people to reach from Kaggadasapura to Old Airport Road/Outer Ring Road, so that they have change over to other buses from there.",??? ?????? ?????? ?????????? ?????????.,02-Nov-15
New Route,,Bengaluru,Yelenahalli (towards Last stop),Bommanahalli (towards TOWARDS MADIWALA),,Please start a new route yelenahalli to bommanhalli.we hv so many commuters in this area who hv to go to either kr market or majestic or silk board.if we have new bus route from this area it would be of great help.,,06-Dec-15
New Route,,Bengaluru,Arekere MICO Layout (towards Last Stop),Domlur (towards INDIRA NAGARA),,To reach Domlur there are no direct buses from Arekre (or Bannerghata Road). Source point given as Arekere MICO Layout could be anything like Gotikere/Meenaxi-Mall/Bannerghata-Park based on demand or BMTC authority's view.,,02-Dec-15
New Route,,Bengaluru,Basavanagara Bus Stand (towards HAL),Tin Factory (towards K.R. PURAM RAILWAY STATION),,There are no buses connecting basavangar bus stop to Outer ring road,??? ?????? ?????? ?????????? ?????????.,06-Dec-15
Increase Frequency,MF-6,Bengaluru,,,,"Increase frequency of these buses as current frequency is very poor.
Increase bus frequency in TC palya main road",,06-Dec-15
Increase Frequency,378D,Bengaluru,,,,"Please increase the frequency of this bus. Previously there was enough busses but after election they have cancelled many, now this bus hardly comes in 3 trip. People are facing lot of problems. Specially students. Some times the busses will not come at all.... please see to that the busses are increased","?????? ?????? ?????? ???????????????? ????????????????,",07-Dec-15
New Route,,Bengaluru,Nerige (towards GUNJURU),Anekal  (towards LAST POINT),,Start bus service,"
??? ?????? ?????? ?????????? ?????????.",07-Dec-15
Other,,Bengaluru,,,,Request you to kindly increase the frequency of '252F' buses. Please do this to avoid the rush in the buses and also to avoid inconvenience to passengers who have to wait a lot to get the buses.,,22-Dec-15
Increase Frequency,37F,Bengaluru,,,,"Need more buses in morning like 8:30am,9:00am,9:30am etc ",,04-Jan-16
New Route,,Bengaluru,Coxtown Water Tank (towards COX TOWN),Brook Bond (towards TOWARDS WHITEFIELD),,There are no direct buses from Cox Town to Whitefield. It will be good if direct services are launched.,???? ????? ????????? ???? ?????????????????.,04-Jan-16
New Route,,Bengaluru,Majestic (towards Super Talkies),Madapatna (towards MADAPATTANA),,Please add a bus to commute from Majestic towardsMagadi Road Tolgate. There are many people working in K G Road Plese Provide Bus In this Route No Buses Passengers Are Troble With No More Buses In This Timings Kindly look into this route to add bus facility..in Help the People.. Village side Please Pls,,09-Jan-16
New Route,,Bengaluru,Koramangala (towards null),Electronic City (towards ATTIBELE),,"Request for new Route. 
Domluru/Koramangala to Electronic City/NH/Chandapura..

Dear Planners, 

Request you to implement a direct bus from koramangala to E-City & Viceversa. 

Daily 1000's of employees ply on this route. due to not availability of direct buses. People prefer to take private buses which are not safe. Some still manage to get their own vehicle and remaining change the 2/3 buses to reach destination. 

Request you to focus on this route that will not only help commuters but also increase your revenue and profits as you will find a good demand once you start the service. 

1. this will benefit to IT employees
2. Will reduce the traffic from roads
3. Will help patients to reach directly to Narayan Health.
4. Womens will be safe, no longer as they will prefer BMTC and not private buses

REquest you to give a though. Thanks. 
",,08-Jan-16
New Route,,Bengaluru,Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),Shivajinagar Bus Station (towards TOWARDS INDIAN EXRESS),,This is for flyover route request for E-CITY to Shivajinagar.,,08-Jan-16
New Route,,Bengaluru,Alammana Palya (towards THAVAREKERE & HUNNIGERE ROAD),Majestic (towards Super Talkies),,Pls Provide Bus There are no buses In This Route Passenger are Troble with Private autos Collecting More Money In Travelling Pls Provide Bus In This Route..,,09-Jan-16
New Route,,Bengaluru,Kadugodi (towards KADUGODI),KR Puram (towards TOWARDS KBS),,"via Dommasandra, Kurudu Sonnenahalli",?????? ?????? ?????? ???????? ???????? ????????????????.,09-Jan-16
New Route,,Bengaluru,Jayanagara 4th Block (towards null),Yelahanka NES (towards TOWARDS YELAHANKA TOWN),,there is no direct buses from jayanagar south to  yelahanka north... ,,10-Jan-16
New Route,,Bengaluru,Channasandra (towards UTHARAHALLI),CV Raman Nagara (towards BEML)," 6:30 AM, 7:30 AM, 5:00 AM, 5:30 PM",There are lot of employees of BEML and Bagmane Tech park in Channasandra. Please provide a route for these 2 areas.,,03-Nov-15
New Route,,Bengaluru,,,,Need buses from Jail Road or Sarjapura Road towards ITPL,,01-Nov-15
Other,,Bengaluru,,,,"Please introduce pass holder only buses in popular routes during office timings. Ordinary buses would be better since many people think its cheaper and comfortable to take car/bike instead of taking a volvo. If one calculates the travel expense by volvo, its same or expensive than to travel in own vehicle. Choosing public transport is often a trade off with expense and comfort. When expense is more or less same and most volvo buses are crowded in peak hours. Most of people feel its not worth traveling in volvo standing paying almost 3 to 4 times the normal fare. Hence more people take out their vehicle and most of the cars on the road have single occupant. Introducing this kind of service will keep many cars and bikes off the road reducing the congestion. Route passes will help in identifying the economically feasible routes for BMTC.",,03-Nov-15
New Route,,Bengaluru,Jayanagara 4th Block (towards null),Hosa Road (towards \N),,PLease provide a bus route as theer is no route whcih go directly to 4th block we nned to get down and wait near jayadeva and catch one more bus please can u get direct bus,,07-Dec-15
Other,,Bengaluru,,,,please start volvo service from shivajinagar to hampinagar/vijaynagar which runs even after 6pm.,,08-Dec-15
New Route,,Bengaluru,Horamavu (towards KALKERE),"Kamalanagar Bus Stop (towards SHANKARNAG BUS STAND, KAMALANAGARA)",,"Already there are very low frequencies on Horamavu main road, and it is the most fastest growing area in the city, So people need a bus which connects these long distances with a high frequency. This will reduce problems to people travelling long distances.",,08-Dec-15
Other,,Bengaluru,,,,Increase bus size in tavarekere route or increase frequency,,09-Dec-15
Other,,Bengaluru,,,,"I live at Kasavanahalli which is off Sarjapur Road.
There are many apartments which have come up at Kasavanahalli (also called Hosa Road or Jail Road).It is currently catered by 341B and 340L which are skeletal services. Please start services between ""Electronic City and Majestic"" via Hosa Road Junction - Kasavanahalli Road -Sarjapur Road  - Kormangala 4th block - Viveknagar - Vannarpet - Johnson Market - Nanjappa Circle - Majestic. Have frequent services like G-series or Big Circle buses so that people from Richmond Town / Langford Town/ Kormangala / Viveknagar can travel to Electronic City.",,09-Dec-15
Other,,Bengaluru,,,,"Please Revise some bus route numbers having Double Alphabetics is so much confusion with that. The following routes has to be changed 328HA, 328HB, 328HC, 328HD, 342AA, 342JB, 342MA, 342TA, 342VA, 342WA.",,22-Dec-15
Increase Frequency,BC-9,Bengaluru,,,,"Nagawara to Byataranpura, Byatrayanpura to Nagawara after 6 pm there is no buses via amruthalli, srirampura, rachenahalli, thanisandra.BC-9 working up to 6 pm, actually neeed more buses up to 10 pm.",????????????????,09-Dec-15
New Route,,Bengaluru,Kattiganahalli (towards MAKANAHALLI),Jigani (towards APC Circle),,"Provide buses with this route via - Makanahalli, Devalapura,Anugondanahalli, Muthkur, Muthsandra, Nerige, V-Kallahalli, Dommasandra, Chandapura.",??? ?????? ?????? ?????????? ?????????.,22-Dec-15
New Route,,Bengaluru,BGS Hospital (towards Uttarahalli),NRColony (towards GANDHI BAZAR)," 7:00 AM, 7:30 AM",Lot of children go to school located in these areas from this location. Please provide a route at these times for this purpose with return trip at 3.15 PM and 4.00PM.,,03-Nov-15
New Route,,Bengaluru,Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),KR Puram Railway Station (towards HOODI),,"Dear Sir,
Please provide direct AC bus from Electronic City Wipro gate till KR PURAM RLY STATION. This covers all IT companies till EMC Corporation Mahadevapura for majority of employees. There is only one NON AC bus at 1015am ( it wont come on time everyday), no direct bus to marathalli/kr puram after that. All silk board buses are full rush and we have to get down before silk board flyover due to traffic jam and come all the way to silk board bus stop on outer ring road. Also, due to buses coming rush in that route already we have to stand till our office reaches. Please provide 2 or 3 more buses, i am sure it will be full occupied in morning and evening",,10-Dec-15
New Route,,Bengaluru,YELAHANKA (towards \N),Hoskote (towards Vijayapura),,"Need bus from Yelahanka via Kannuru, kothanur, Hormavu Agara, Jayanthinagara, Kalkere, K.channasandra, maragondanahalli, Anandhpura circle, TC Palya Signal, avalahalli & Hoskote","???? ??????? ?.??.?.??.????? ?????????? ????????????, ?.??.?.??.??U??? ??????? ???? ?????????????????.",23-Dec-15
New Route,,Bengaluru,Jayanthi Nagar (towards KALKERE),Manyatha Tech Park (towards HEBBALA),,Many people working in Manyatha Embassy Business Park are residing in Horamavu Area.  A bus route to cater these workers will be benficial,,04-Jan-16
Other,,Bengaluru,,,,There is no service of bus route 276 starting from Vidyaranyapura between 20.25 and 21.15. This creates lot of hardship for commuters who plan to reach KSRTC bus stand or city railway station in the night. request you to introduce at least two services at 20.45 and 21.00,,04-Jan-16
Other,,Bengaluru,,,,Please increase the frequency from Hebbal to itpl during peak hours of morning and evening.,,05-Jan-16
New Route,,Bengaluru,St John Hospital (towards TOWARDS MADIWALA),Maratahalli (towards TOWARDS VARTHURU KODI),,Please consider operating trips from Madivala check post/St Johns hospital towards Marathahalli/ITPL and vice versa during office hours.,,05-Jan-16
Increase Frequency,no existing match,Bengaluru,,,,"Hi, Please increase the frequency of buses on NICE-7 route. The bus is extremely crowded with barely place to stand. ",???????? ??? ?????? ?????????? ???? ???? ??????????????? ????????????????/,05-Jan-16
New Route,,Bengaluru,Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),Shivajinagar Bus Station (towards TOWARDS INDIAN EXRESS),,so many people are waiting for sbs ,,05-Jan-16
Other,,Bengaluru,,,,"please give a bus service for Bhovipalya village to KBS Majestic. similar route number 323D.
and please give the bus services from Dommaluru to Chikkathirupathi area Villages like : (via - HAL, Marathahalli, Varthur, Gunjur)
1 Gundur, 2 Siddanapura, 3 Gollahalli, 4 Sampangere, 5 Shivanapura, 6 Lakkur, 7 Kodahalli gate, 8 Jayamangala, 9 Alambadi, 10 Rajakrishnapura, 11 Jagadenahalli, 12 Menasandra, 13 Koppa, 14 Thalakunte, 15 Kalikere, 16 Arasanahalli, 17 Rampura, 18 Sonnur, 19 Pura, 20 Hulimangala Hosakote.
these are the villages belongs to Lakkur Hobli of Malur Taluk. the daily working labours travelled daily to Varthur, whitefield, Marthahalli & Ringroad, HAL, Dommalur areas.",,11-Dec-15
Increase Frequency,201J,Bengaluru,,,,"Please put on a few more volvo buses on this route after 6.30 PM. Normal buses are overflowing with people and there's a huge demand, as evident from the long queues of people at bus stops on this route.",,11-Dec-15
New Route,,Bengaluru,Gunjuru Cross (towards GUNJURU PALYA),Kada Bisanahalli (towards MARTHAHALLI BRIDGE),,There is no bus service connecting Varthur main road to Marthahalli via Gunjur Pallya. This causes a lot of problem to residents in Gunjur.,?????????????? ??? ???? ????? ????????? ???? ?????????????????.,13-Dec-15
New Route,,Bengaluru,Jayanagara 4th Block (towards null),Electronic City (towards GOTTIGERE),,"Via BG Road, Yelanahally, Begur Koppa Road",,27-Dec-15
New Route,,Bengaluru,BTM Layout Bus Stop (towards CENTRAL SILK BOARD JUNCTION),Electronic City 2nd Phase (towards Last Stop),,over the flyover . currentl there are no bus for this route,,25-Dec-15
Increase Frequency,401AC,Bengaluru,,,,"There are no buses from yeshwantpura to Devan shall I

Please put the buses ",????????? ????????? ????? ??????????????????? ???? ???? ???????????? ????????????????????. ?????????? ?????????? ??????? ?????? ?????????? ???????????? ???????????????????. ???????? ????????? ?????? ?????? ???? ???? ??? ??????? ????? ???? ??????? ?????? ???????????? ??????????????????. ,26-Dec-15
